"Gene","Lineage","count_genomes"
"group_3312","L2",1
"group_3313","L2",1
"group_3314","L2",1
"group_3315","L2",1
"group_3316","L2",1
"group_3317","L2",1
"group_3318","L2",1
"group_3319","L2",1
"group_3320","L2",1
"group_3321","L2",1
"group_3322","L2",1
"group_3323","L2",1
"group_3324","L2",1
"group_3325","L2",1
"group_3326","L2",1
"group_3327","L2",1
"group_3328","L2",1
"group_3329","L2",1
"group_3330","L2",1
"group_3331","L2",1
"group_3332","L2",1
"group_3333","L2",1
"group_3334","L2",1
"group_3335","L2",1
"group_3336","L2",1
"group_3337","L2",1
"group_3338","L2",1
"group_3339","L2",1
"group_3340","L2",1
"group_3341","L2",1
"group_3342","L2",1
"group_3343","L2",1
"group_3344","L2",1
"group_3345","L2",1
"group_3346","L2",1
"group_3347","L2",1
"group_3348","L2",1
"group_3349","L2",1
"group_3350","L2",1
"group_3351","L2",1
"group_3352","L2",1
"group_3353","L2",1
"group_3354","L2",1
"group_3355","L2",1
"group_3356","L2",1
"group_3357","L2",1
"group_3358","L2",1
"group_3359","L2",1
"group_3360","L2",1
"group_3361","L2",1
"group_3362","L2",1
"group_3363","L2",1
"group_3364","L2",1
"group_3365","L2",1
"group_3366","L2",1
"group_3367","L2",1
"group_3368","L2",1
"group_3369","L2",1
"group_3370","L2",1
"group_3371","L2",1
"group_3372","L2",1
"group_3373","L2",1
"group_3374","L2",1
"group_3375","L2",1
"group_3376","L2",1
"group_3377","L2",1
"group_3378","L2",1
"group_3379","L2",1
"group_3380","L2",1
"group_3381","L2",1
"group_3382","L2",1
"group_3383","L2",1
"group_3384","L3",1
"group_3385","L7",1
"group_3386","L1",1
"group_3387","L1",1
"group_3388","L1",1
"group_3389","L4",1
"group_3477","L2",1
"group_3486","L2",1
"group_3488","L2",1
"group_3547","L2",1
"group_40","L2",1
"group_4484","L2",1
"group_4523","L5",1
"group_535","L3",1
"group_554","L2",1
"group_562","L2",1
"group_607","L2",1
"group_619","L2",1
"group_635","L2",1
"group_745","L2",1
"group_784","L4",1
"group_79","L2",1
"group_814","L2",1
"group_817","L2",1
"group_853","L2",1
"group_86","L2",1
"group_90","L3",1
"group_918","L2",1
"group_924","L2",1
"group_97","L5",1
